Judul Berita,Label
"
Syarat Membuat Kartu Kuning dan Cara Bikin via Online-Offline
",Netral
"
Serbuu! Beli 1 Set Meja Makan Diskon Jadi Rp 1 Jutaan di Transmart Full Day Sale
",Positif
"
AHY Bagi-bagi Sertifikat Tanah ke Korban Gempa Cianjur
",Netral
"
Kabar Baik buat Honorer, Kemendikbudristek Buka 40.541 Formasi CPNS & PPPK
",Positif
"
Rencana Nike PHK 740 Karyawan
",Negatif
"
Di Transmart Full Day Sale, Kasur Matras Cuma Rp 500 Ribuan
",Positif
"
Petugas SPBU Ramaikan Hari Kartini dengan Berpakaian Adat
",Netral
"
Kemenag Buka 110.553 Formasi CPNS & PPPK, buat Posisi Apa Saja?
",Netral
"
Pengunjung Transmart Full Day Sale Happy, Beli Kulkas 4 Pintu Dapat Diskon Gede!
",Positif
"
Nih Daftar Formasi CPNS & PPPK di Kementerian, Kemenag Buka Paling Banyak!
",Netral
"
Pengunjung Happy, Beli Sepeda Anak-Koper Diskon 20% di Transmart Full Day Sale
",Positif
"
Telkom Catat Laba Rp 6,3 T di Kuartal I 2024, Ini Penyokongnya
",Positif
"
Belanja di Transmart Full Day Sale Hemat & Lengkap, Pelanggan Puas!
",Positif
"
Harga Bawang Merah Meroket, Bapanas Lakukan Hal Ini
",Negatif
"
Murah Banget! Buah Pir Diobral Mulai Rp 1.600-an di Transmart Full Day Sale
",Positif
"
Seberapa Penting Warisan buat Keluarga?
",Netral
"
Harga Bawang Merah Tiba-tiba Meroket ke Rp 80.000/Kg, Ini Biang Keroknya!
",Negatif
"
Merapat ke Transmart Full Day Sale! Daging Rendang-Shabu Diobral Murah Meriah
",Positif
"
Terbantu KUR BRI, UMKM Kue Kering di Sidoarjo Raup Omzet Puluhan Juta
",Positif
"
Promo Bursa Pariwisata, KAI Tebar Diskon Tiket 20% buat 15 Kereta Ini
",Positif
"
Kulkas 4 Pintu Banting Harga di Transmart Full Day Sale, Diskon hingga Rp 3 Jutaan
",Positif
"
Perusahaan Induk Google Hapus Syarat 'UMR' Untuk Pemasoknya
",Positif
"
Kenalan dengan Instruktur, Sosok 'Guru' bagi Pilot Lion Group
",Netral
"
Di Transmart Full Day Sale, Beli AC 1/2 PK Cuma Rp 2 Jutaan
",Positif
"
Buruan ke Transmart Full Day Sale, Beli Kasur Diskonnya Gila-gilaan!
",Positif
"
Melejit Dalam Sehari! Harga Bawang Merah di Jakarta Tembus Rp 80 Ribu/Kg
",Negatif
"
Transmart Full Day Sale Hari Ini, Beli Sepeda Listrik Hemat hingga Rp 2,7 Jutaan
",Positif
"
Begini Progress Terkini Proyek Bendungan Bagong Trenggalek
",Netral
"
Punya Emas Jangan Dijual Dulu, Harganya Bisa Tembus Segini!
",Positif
"
Terungkap Biang Kerok Gula Langka dan Mahal Tembus Rp 23.000/Kg
",Negatif
"
Erick Buka-bukaan Dampak Konflik Israel-Iran dan Dolar AS Meroket ke BUMN
",Negatif
"
Yuk Serbu Transmart Full Day Sale Hari Ini! Banjir Diskon 50% + 20%
",Positif
"
Fantastis! Ini Daftar Lengkap Gaji Pegawai hingga Para Bos Perusahaan Minyak di RI
",Netral
"
2,1 Juta Kendaraan Lewati Tol Trans Sumatera Saat Mudik-Arus Balik Lebaran
",Netral
"
Kenalkan BRImo, BRI Tanah Abang Gandeng Starling dan Komunitas
",Netral
"
Terus Kembangkan Fitur BRImo, BRI Ingin Beri One Stop Solution Bagi Nasabah
",Positif
"
Kereta Solo-Jakarta Ditambah! Ini Harga Tiket & Waktu Berangkat
",Netral
"
Penjual Makanan Viral Gohyong Sukses Antarkan Anak Sekolah hingga Sarjana
",Positif
"
Karyawan Naik Kelas Jadi Bos Keripik Singkong, Encih Bisa Beli Mobil dan Tanah
",Positif
"
Pasar Modern Saruma Halmahera Selatan Terbengkalai
",Negatif
"
Kisah Sukses Penjual Martabak Bisa Naik Haji dan Sekolahkan 3 Anak hingga Sarjana
",Positif
"
Usaha Soto Mi Bogor, Andi Berangkatkan Orang Tua hingga Mertua Umrah
",Positif
