Judul Berita,Label
"
Kabar Terbaru Rencana Jokowi yang Ingin RI Kuasai 61% Saham Freeport
",Positif
"
Mal Pelayanan Denpasar Tetap Buka 8-9 April 2024
",Netral
"
Kenalan dengan Orang Terkaya Paling Muda di RI, Hartanya Tembus 33 T!
",Positif
"
Butuh Duit Segini kalau Mau Buka Alfamart Sendiri, Termasuk Syaratnya
",Netral
"
Ternyata Ini Pemilik Biskuit Khong Guan yang Selalu Ada Saat Lebaran
",Netral
"
Deretan Masalah Pesawat Boeing: Pintu Copot di Udara-Penutup Mesin Lepas
",Negatif
"
Padat Banget! Begini Suasana Pemudik di Kapal Antarpulau Ternate
",Netral
"
Jelang Lebaran, Warga Pakistan Mulai Berburu Perhiasan
",Netral
"
Harta Kekayaan Jack Ma Kalah Sama 3 Orang Indonesia Ini
",Negatif
"
9 Orang Kaya Pemilik Mal Mewah dan Terkenal di Jakarta
",Netral
"
Ini Nih Biang Kerok Kemacetan 'Horor' di Jalan Tol ke Merak
",Negatif
"
Singgung Sektor Tekstil Berat, Bos Kadin Minta Pengusaha Terbuka soal THR
",Negatif
"
Begini Potret di India Saat Menyambut Idul Fitri 1445 H
",Netral
"
Zulhas Bantah Harga Daging Sapi Naik, Masih Rp 130-140 Ribu/Kg
",Netral
"
Impor Televisi, AC hingga Kulkas Dibatasi, Zulhas: Kalau Dilarang WTO Marah
",Negatif
"
Jokowi Sebut Negosiasi Tambah Saham di Freeport Alot, Bahlil Turun Tangan
",Negatif
"
Suasana Mudik Idul Fitri Penuh Sesak di Bangladesh
",Netral
"
Ada Diskon Tarif Arus Balik 20%! Cek Daftar Tol dan Tanggalnya di Sini
",Positif
"
Pembangkit Listrik Tenaga Air di Italia Meledak
",Negatif
"
Cerita Zulhas Minta Maaf ke Jokowi di Istana
",Netral
"
796.000 Agen BRILink Siap Layani Kebutuhan Nasabah Selama Libur Lebaran
",Positif
"
Momen Akrab Sri Mulyani Silaturahmi Lebaran dengan Jokowi dan Megawati
",Netral
"
Bahlil Minta Freeport Bantu Bangun Smelter di Papua
",Netral
"
Kata Zulhas soal Tomat Mahal: Kalau Harga Murah Sekali Orang Malas Tanam
",Negatif
"
Bahlil Wanti-wanti Induk Freeport Indonesia Harus Setuju RI Tambah Porsi Saham
",Negatif
"
Zulhas Bicara Harga Pangan: Kalau Murah Saya Nggak Senang Sebetulnya
",Negatif
"
Bahlil Teken Izin Usaha Vale Jika Syarat Ini Terpenuhi
",Netral
