Judul Berita,Label
"
Kena Imbas Perang Iran vs Israel, IHSG Anjlok 1,68%
",Negatif
"
Ini Dampak Serius Perang Iran & Israel ke Ekonomi RI
",Negatif
"
930 Perusahaan Menunggak THR, Sanksinya Bisa Ditutup!
",Negatif
"
Bos Apple Temui Jokowi Besok, Bahas Rencana Investasi di RI
",Positif
"
Heboh Prilly Masak Pakai Tabung 3 Kg, ESDM Bakal Revisi Aturan Pakai LPG
",Netral
"
Pembebasan Bea Masuk Barang Kiriman TKI Bakal Ditambah hingga Rp 45 Juta/Tahun
",Positif
"
Impor TV hingga Laptop Diperketat, Menperin Bilang Begini
",Negatif
"
Biaya Konstruksi Terancam Bengkak Gegara Konflik Iran-Israel? Ini Kata PUPR
",Negatif
"
Konflik Iran & Israel Bisa Bikin Anggaran Subsidi BBM RI Bengkak, Kok Bisa?
",Negatif
"
Pembatasan Barang Kiriman TKI Dicabut!
",Positif
"
Begini Cara Kebijakan Moneter Dapat Menjaga Stabilitas Ekonomi
",Netral
"
Digeber, Dua Seksi Tol Japek II Selatan Ini Ditarget Rampung Tahun Depan
",Positif
"
Rupiah Tembus Rp 16.000 Imbas Perang Iran Vs Israel, Bos BI: Kami Intervensi Pasar
",Negatif
"
Menperin Mau Program Gas Murah Dilanjut, Ingatkan Aturan Masih Berlaku
",Netral
"
Menyorot Imbas Konflik Iran-Israel pada Ekonomi Kita
",Negatif
"
Ternyata Ini Biang Kerok Rupiah Keok Lawan Dolar AS!
",Negatif
"
Rupiah Anjlok ke Rp 16.000, Airlangga: Kita Lebih Baik dari Malaysia-China
",Negatif
"
Bos Apple ke RI Besok Bahas Investasi? Ini Kata Menperin
",Netral
"
Perbaikan Jalan Tol Bocimi yang Longsor Dikebut, Rampung Juni 2024
",Positif
"
Biaya Hidup di Jakarta Hampir Rp 15 Juta, Jangan Datang Sebelum Dapat Kerja!
",Negatif
"
Iron Dome, Sistem Pertahanan Mahal Israel yang Halau Serangan Iran
",Negatif
"
Perang Iran Vs Israel Bisa Guncang Ekonomi,  Jokowi Mau Tebar Bansos Lagi?
",Negatif
"
Rupiah KO, Dolar AS Sempat Tembus Rp 16.200
",Negatif
"
Kode Huruf pada Tiket Kereta Ekonomi, Apa Artinya?
",Netral
"
Harga Ayam Masih Mahal, Pedagang Ngaku Nombok!
",Negatif
"
Menperin Buka-bukaan Nasib Industri RI Kala Rupiah Ditekan Dolar AS
",Negatif
"
Dibantu BRI, Sate Klathak Pak Pong Kini Jadi Legenda Kuliner di Yogya
",Positif
"
Jangan Coba-coba Mengadu Nasib ke Jakarta Kalau Tak Punya Skill Ini!
",Negatif
"
Harga Minyak Mentah Bikin Waswas, Produksi Minyak RI Malah Makin Merosot
",Negatif
"
Menteri ESDM Waswas Harga Minyak Tembus US$ 100 per Barel Imbas Iran Vs Israel
",Negatif
"
10 Orang Terkaya Malaysia 2024, Nomor 1 Baru Beli Mal di Singapura
",Netral
"
Iran dan Israel Memanas, Menperin Blak-blakan Dampaknya ke Industri
",Negatif
"
Demi Kejar Target, Pekerja IKN yang Mudik Dijemput Pakai Pesawat Hercules
",Negatif
"
Rupiah Keok Lawan Dolar AS, Ini Dampak Ngerinya buat Ekonomi RI
",Negatif
"
Perang Iran-Israel Meletus, Airlangga Jamin Harga BBM Tak Naik Sampai Juni 2024
",Negatif
"
Pemerintah Evaluasi Subsidi Energi Setelah Juni, Harga BBM Naik?
",Negatif
"
Harga BBM Tak Naik sampai Juni Meski Iran Vs Israel Memanas
",Netral
"
Menteri PUPR Sebut ASN Mulai Pindah ke IKN Setelah Upacara 17 Agustus
",Netral
"
Berlaku Besok, Ini Ruas Tol yang Terapkan Diskon Tarif 20%
",Positif
"
ESDM Buka-bukaan Dampak Perang Iran vs Israel ke Harga BBM
",Negatif
"
15.000 Pendatang Baru Serbu Jakarta, Ini Pekerjaan yang Paling Dibutuhkan
",Netral
"
Alasan Shell Mau Tutup Semua SPBU di Medan Tahun Ini
",Negatif
"
Airlangga Sebut Dunia Tak Mampu Nanggung Dampak Perang Lagi!
",Negatif
"
Jokowi Kumpulkan Menteri Antisipasi Lonjakan Harga Minyak Imbas Iran Israel Memanas
",Negatif
"
Anggaran Subsidi BBM Bisa Jebol Gegara Dampak Perang Iran Vs Israel
",Negatif
"
Ternyata Begini Proses Pengisian Air di Toilet Kereta
",Netral
"
Harga Beras di Pasar Mulai Turun Nih!
",Positif
"
Setelah Lebaran, Harga Bawang Merah-Putih Masih Mahal
",Negatif
"
Iran dan Israel Perang, Harga Minyak Bisa Tembus US$ 100/Barel
",Negatif
"
Libur Selesai, Commuter Line Kembali Penuh Penumpang
",Netral
