Judul Berita,Label
"
Pemudik Capai 194 Juta, Luhut Sebut Paling Meriah Sepanjang Sejarah
",Positif
"
Dirut Pertamina Pantau Kesiapan Satgas-Stok BBM di Jawa Barat
",Netral
"
Subholding BUMN Jasa Survei Gelar Program Mudik untuk 5 Rute
",Netral
"
Diperbaiki, Tol Bocimi yang Longsor Ditarget Bisa Dipakai Mudik Minggu Depan
",Positif
"
Risma Jawab Hakim MK soal Alasan Bansos Cair Mulai Januari
",Netral
"
Ucapkan Selamat Mudik Lebaran, Luhut: Kalau Ngantuk Berhenti Dulu
",Netral
"
AHY Bakal Kunjungi Muara Gembong Bekasi, Ada Apa Nih?
",Netral
"
Risma Buka-bukaan Alasan Tidak Mau Salurkan Bansos Beras, Singgung Temuan BPK
",Negatif
"
Mulai Besok, KAI Tambah Kereta Mudik Rute Gambir-Yogyakarta
",Netral
"
Cara Membeli E-Meterai untuk Seleksi CASN, Wajib Tahu
",Netral
"
Sri Mulyani Anggap Sidang Sengketa Pilpres Cara Rawat Nalar Publik tentang APBN
",Netral
"
Rupiah Lesu-Harga Minyak Meroket, Siap-siap Subsidi BBM Bengkak!
",Negatif
"
Saat Muhadjir Ditegur Ketua MK di Sidang Sengketa Pilpres Gegara Pernyataan Ini
",Negatif
"
Muhadjir Beberkan Alasan Jokowi Sering Berkunjung ke Daerah
",Netral
"
Sri Mulyani Bantah Automatic Adjustment buat Biayai Bansos!
",Negatif
"
Penampakan Kemacetan di Tol Cipali
",Netral
"
21 Usaha Rumahan yang Tidak Ada Matinya, Tak Perlu Sewa Kios
",Positif
"
2 Cara Transfer DANA ke ShopeePay dan Biaya Adminnya
",Netral
"
Cara Daftar Akun Aplikasi SIAPkerja Kemnaker dan Persyaratannya
",Netral
"
Mensos Sebut Pemerintah Tak Lagi Salurkan Bansos dalam Bentuk Beras
",Negatif
"
Sri Mulyani Blak-blakan Alokasi Dana Bansos Setiap Kunjungan Jokowi ke Daerah
",Netral
"
Jokowi Gemar Bagi-bagi Bansos, Muhadjir: Itu Pola Kepemimpinannya
",Netral
"
Bazar Murah untuk Lebaran
",Positif
"
Mudik Gratis Peruri Berangkatkan 700 Peserta ke Jawa Tengah
",Netral
"
Suara Golkar Melonjak Berkat Bansos? Airlangga: Bungkusnya Nggak Warna Kuning
",Netral
"
Oh Ternyata Ini, Alasan Pemerintah Gencar Kasih Bantuan Beras buat Masyarakat
",Netral
"
Beli Pertalite Jadi Dibatasi Termasuk Saat Mudik? Ini Kata Menteri ESDM
",Negatif
"
Airlangga Ungkap Sumber Anggaran Bansos yang Dibagikan Jokowi
",Netral
"
'Lenyap' dari Kemensos, Segini Anggaran BLT El Nino yang Disinggung Ketua MK
",Negatif
"
Pemudik Lewati Tol Solo-Yogya yang Dibuka Gratis, Ini Potretnya
",Netral
"
Gojek Swadaya, Fasilitasi Mitra Gojek Berbagi
",Positif
"
Menteri ESDM Buka Suara soal Kasus Korupsi Timah yang Seret Harvey Moeis
",Negatif
"
Pelaku Usaha Sambut Positif Diskon Biaya Penumpukan Peti Kemas
",Positif
"
Eks Dirut Bulog Budi Waseso Buka Suara Namanya Disebut dalam Sidang MK
",Netral
"
Pemerintah Kantongi Rp 23 T dari Pajak Kripto hingga Fintech
",Positif
"
Kerja Sama Fasilitas Kredit Industri Tekstil
",Netral
"
6 Maskapai Hadiri Panggilan KPPU soal Tiket Pesawat Naik, Batik Tak Hadir
",Negatif
"
Buntut Aksi Boikot, McDonald's Beli 225 Gerai Waralabanya di Israel
",Negatif
"
Nama Buwas Disebut Hakim MK di Sidang Sengketa Pilpres, Ada Apa?
",Netral
"
7 Maskapai Dipanggil soal Harga Tiket Pesawat Mahal, Begini Hasilnya
",Netral
"
TelkomGroup Berangkatkan Lebih Dari 2.000 Pemudik
",Netral
"
Mudik Lebaran, Transaksi Tetap Mudah dan Nyaman Bersama BRI
",Positif
"
Hakim MK Tanya ke Sri Mulyani cs, Sumber Dana Jokowi Bagi Bansos dari Mana?
",Netral
